codigo_br,descricao_catmat,preco_unitario,qtd_itens_comprados,fornecedor,fabricante,nome_instituicao,ano_compra,mediana_produto,razao_vs_mediana
433437,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:CONJUNTO DE INFUSÃO, MATERIAL:POLÍMERO, COMPONENTE:CATÉTER CERCA 60 CM C/ CONECTOR LUER LOCK, COMPONENTE I:C/ CÂNULA INFUSÃO CERCA 8 MM, COMPONENTE II:SUPORTE, TAMPA E ADESIVO PROTETOR, CARACTERÍSTICA ADICIONAL:P/ INSERÇÃO C/ APLICADOR",1207000.0,12,MEDTRONIC COMERCIAL LTDA,AUTO SUTURE DO BRASIL LTDA.,MUNICIPIO DE GUARARAPES,2024,805.0,1499.3788819875776
268252,"DIPIRONA SÓDICA, DOSAGEM:500 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL",1030.0,1,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,FUNDO MUNICIPAL DE SAUDE,2024,0.72,1430.5555555555557
397502,"AGULHA HIPODÉRMICA, MATERIAL:AÇO INOXIDÁVEL SILICONIZADO, DIMENSÃO:21 G X 1"", TIPO PONTA:BISEL CURTO TRIFACETADO, TIPO CONEXÃO:CONECTOR LUER LOCK EM PLÁSTICO, TIPO FIXAÇÃO:PROTETOR PLÁSTICO, CARACTERÍSTICA ADICIONAL:COM SISTEMA SEGURANÇA SEGUNDO NR/32, TIPO USO:ESTÉRIL, DESCARTÁVEL, EMBALAGEM INDIVIDUAL",396.0,4400,EXCLUSIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA,"FUNDACAO BAIANA DE PESQUISA CIENTIFICA E DESENVOLVIMENTO TECNOLOGICO, FORNECIMENTO E DISTRIBUICAO DE MEDICAMENTOS - BAHIAFARMA",MUNICIPIO DE SENADOR SA,2022,0.28,1414.2857142857142
427479,"PONTEIRA LABORATÓRIO, MATERIAL:POLIPROPILENO, CAPACIDADE:ATÉ 1000 MCL, TIPO USO :DESCARTÁVEL",56.0,3,DL NUTRICAO CLINICA LTDA,CRAL ARTIGOS PARA LABORATORIO LTDA,FUNDO MUNICIPAL DE SAUDE,2020,0.04,1400.0
267713,"OMEPRAZOL, CONCENTRAÇÃO:40 MG",415.15,6,ALLFAMED COMERCIO ATACADISTA DE MEDICAMENTOS LTDA,BLAU FARMACEUTICA S.A.,FUNDO MUNICIPAL DE SAUDE DE SAO JOSE DE CAIANA,2025,0.3,1383.8333333333333
435443,"FORMOTEROL FUMARATO, COMPOSIÇÃO:ASSOCIADO COM BUDESONIDA, CONCENTRAÇÃO:6 MCG + 200 MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO AEROSOL P/ INALAÇÃO, CARACTERÍSTICAS ADICIONAIS:COM FRASCO INALADOR",129490.0,2,FARMACIA FRUTAL LTDA,ASTRAZENECA DO BRASIL LTDA.,MUNICIPIO DE GUARARAPES,2024,96.0,1348.8541666666667
433445,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:RESERVATÓRIO, MATERIAL:POLIPROPILENO TRANSPARENTE, COMPONENTE:TIPO SERINGA CERCA 3 ML",202000.0,9,MEDTRONIC COMERCIAL LTDA,AUTO SUTURE DO BRASIL LTDA.,MUNICIPIO DE GUARARAPES,2024,150.0,1346.6666666666667
404491,"BROCA ALTA ROTAÇÃO, MATERIAL:AÇO INOXIDÁVEL DIAMANTADA, CARACTERÍSTICA ADICIONAL:CONJUNTO, TIPO CORTE:CORTE EXTRA FINO, REFERÊNCIA:REF.: 1093, 1112, 1190, 2135, 3118, 3168 E 3195",3781.0,10,J MARCAL SERVICOS DE PROTESE ODONTOLOGICA,"MICRODONT COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS PARA USO MEDICO E ODONTO LTDA",FUNDO MUNICIPAL DE SAUDE DE PIMENTA BUENO,2020,2.8600000000000003,1322.0279720279718
466566,"PANTOPRAZOL, COMPOSIÇÃO:SÓDICO SESQUI-HIDRATADO, CONCENTRAÇÃO:20 MG, ADICIONAL:LIBERAÇÃO CONTROLADA",233.0052,10,FARMACIA SANTA MARIA LTDA,TAKEDA PHARMA LTDA.,MUNICIPIO DE EMAS,2022,0.18,1294.4733333333334
267650,"ENALAPRIL MALEATO, DOSAGEM:5 MG",76.0,165,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA",GEOLAB INDUSTRIA FARMACEUTICA S/A,MUNICIPIO DE NAZARE DO PIAUI,2024,0.06,1266.6666666666667
